source airport,source airport id,destination apirport,destination airport id,source city,destination city,airline name,plane model,capacity
JFK,3797,SJU,2890,New York,San Juan,Delta Air Lines,Boeing 757-200,162
JFK,3797,SJU,2890,New York,San Juan,Delta Air Lines,Boeing 757,0
JFK,3797,SLC,3536,New York,Salt Lake City,Delta Air Lines,Boeing 757,0
JFK,3797,SLC,3536,New York,Salt Lake City,Delta Air Lines,Boeing 737-800,160
JFK,3797,SLC,3536,New York,Salt Lake City,Delta Air Lines,Boeing 737-900,175
JFK,3797,SLC,3536,New York,Salt Lake City,Delta Air Lines,Boeing 757-200,162
JFK,3797,STL,3678,New York,St. Louis,Delta Air Lines,Canadair Regional Jet 700,0
JFK,3797,STL,3678,New York,St. Louis,Delta Air Lines,Canadair Regional Jet 900,0
JFK,3797,STT,2883,New York,St. Thomas,Delta Air Lines,Boeing 757,0
JFK,3797,SVO,2985,New York,Moscow,Delta Air Lines,Airbus A330-300,293
JFK,3797,SVO,2985,New York,Moscow,Delta Air Lines,Boeing 777-300ER,396
JFK,3797,SXM,2899,New York,Philipsburg,Delta Air Lines,Boeing 757-200,162
JFK,3797,TLV,1590,New York,Tel-aviv,Delta Air Lines,Boeing 747-400,366
JFK,3797,TPA,3646,New York,Tampa,Delta Air Lines,McDonnell Douglas MD-88,149
JFK,3797,TPA,3646,New York,Tampa,Delta Air Lines,Boeing 737-800,160
JFK,3797,VCE,1551,New York,Venice,Delta Air Lines,Boeing 767-400,409
JFK,3797,YYC,178,New York,Calgary,Delta Air Lines,Boeing 737-600,113
JFK,3797,YYZ,193,New York,Toronto,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,ATL,3682,New York,Atlanta,Delta Air Lines,McDonnell Douglas MD-88,149
LGA,3697,ATL,3682,New York,Atlanta,Delta Air Lines,Boeing 757,0
LGA,3697,ATL,3682,New York,Atlanta,Delta Air Lines,Airbus A320,158
LGA,3697,ATL,3682,New York,Atlanta,Delta Air Lines,Boeing 737-800,160
LGA,3697,ATL,3682,New York,Atlanta,Delta Air Lines,Boeing 737-900,175
LGA,3697,AUA,2895,New York,Oranjestad,Delta Air Lines,Boeing 737-800,160
